name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Regenerative Hull,tbca_regenerative_hull,4,,,"defensive, merc",Defenses,15000,FALSE,TRUE,TRUE,10,15,25,40,data.hullmods.RegenerativeHull,"Replaces the hull's material to biological nano machines, it's extremely hard to do, but gives it regenerative properties.",Makes the hull regenerate its health over time.,graphics/hullmods/regenerative_hull.png
Recycler Nano Bots,tbca_recycler_nano_bots,3,,,"defensive, merc",Defenses,10000,FALSE,TRUE,TRUE,8,12,20,30,data.hullmods.RecyclerNanoBots,Specialized nano bots that utilizes the armor to make repairs to the hull.,Regenerates the hull in exchange for armor.,graphics/hullmods/recycler_nano_bots.png
Smart Alloy,tbca_smart_alloy,3,,,"defensive, merc",Defenses,8000,FALSE,TRUE,TRUE,7,10,18,25,data.hullmods.SmartAlloy,"Specialized alloy that automatically redistributes itself over the entire armor, leaving no holes unprotected... until the armor runs out.",Redistributes the armor.,graphics/hullmods/smart_alloy.png
Bio-mechanical Hull,tbca_biomechanical_hull,5,0.8,Unknown,"defensive, merc, special","Defenses, Special",50000,FALSE,,,10,15,25,40,data.hullmods.BiomechanicalHull,"The bio-mechanical alloy used in the hull structure is something found somewhere, where exactly, no one knows, the only thing known about it, is that the alloy can regenerate itself during battle. But it's not all flowers, as it is a biological alloy, its regeneration leaves behind scars, limiting its regenerating abilities the more it is used. Not only that, but outside of battle it needs to be fed, so the ship’s consumption of supplies double and it is said that sometimes, some of the crew members ends up disappearing, which is kinda weird considering that most of the time, there is nowhere to go. But it certainly is just a rumour. Really, just rumors.",Regenerates the hull up to a certain point.,graphics/hullmods/biomechanical_hull.png
Recycler Bots,tbca_recycler_bots,3,0.5,Creative Jury-Riggers,"defensive, merc, special","Defenses, Special",25000,FALSE,,,6,10,18,28,data.hullmods.RecyclerBots,"The Recycler Bots are basically salvage bots melded together with repair ones.

In combat they will strip the ship of it's armor to use the materials and repair the hull. They will repair a fraction of 1% per half a second to each armor cell in the grid. Each repair costs 0.25% of all the eligible cells. The more grids the armor has, the better the repair, because the bots are evenly distributed and cannot be moved from one place to another.

It stops when all the grids have 10% or less armor.

If used together with Bio-mechanical Hull, it will do nothing but boost the efficiency of the latter.",Uses the armor to repair the hull.,graphics/hullmods/recycler_bots.png
Smart Armor Alloy: Overall,tbca_smart_armor_alloy_overall,4,0.7,High-Tech,"defensive, merc, special","Defenses, Special",35000,FALSE,,,8,12,20,40,data.hullmods.SmartArmorAlloyOverall,"A technologically advanced alloy made with the ultimate nano technology. It has lower armor capabilities compared with standard alloys, but it has the ability of redistributing itself where it is more needed.

In combat it will redistribute the armor across sections of the ship, always maintaining a layer of protection against direct hull damage. The redistribution causes the ship to heat up, generating 0.5% of total capacity flux every second. When overloaded the nano bots short-circuit, taking 5 seconds for them to reboot after the overload wears off. It has 4 different versions as the nano bots cannot be reprogrammed after creation.

Overall version: Maintains the same amount of armor across the entire ship, having a small boost to weapons and engine repair.",Redistributes the armor across the ship.,graphics/hullmods/smart_armor_alloy.png
Smart Armor Alloy: Strong Front,tbca_smart_armor_alloy_strong_front,4,0.7,High-Tech,"defensive, merc, special","Defenses, Special",35000,FALSE,,,8,12,20,40,data.hullmods.SmartArmorAlloySrongFront,"A technologically advanced alloy made with the ultimate nano technology. It has lower armor capabilities compared with standard alloys, but it has the ability of redistributing itself where it is more needed.

In combat it will redistribute the armor across sections of the ship, always maintaining a layer of protection against direct hull damage. The redistribution causes the ship to heat up, generating 0.5% of total capacity flux every second. When overloaded the nano bots short-circuit, taking 5 seconds for them to reboot after the overload wears off. It has 4 different versions as the nano bots cannot be reprogrammed after creation. Strong front version: Focus the armor entirely on the front, as it's the only thing your enemies will ever see before you sending them to their certain doom. It also greatly boost the weapons repair times.",Redistributes the armor across the ship.,graphics/hullmods/smart_armor_alloy.png
Smart Armor Alloy: Rear View,tbca_smart_armor_alloy_rear_view,4,0.7,High-Tech,"defensive, merc, special","Defenses, Special",35000,FALSE,,,8,12,20,40,data.hullmods.SmartArmorAlloyRearView,"A technologically advanced alloy made with the ultimate nano technology. It has lower armor capabilities compared with standard alloys, but it has the ability of redistributing itself where it is more needed.

In combat it will redistribute the armor across sections of the ship, always maintaining a layer of protection against direct hull damage. The redistribution causes the ship to heat up, generating 0.5% of total capacity flux every second. When overloaded the nano bots short-circuit, taking 5 seconds for them to reboot after the overload wears off. It has 4 different versions as the nano bots cannot be reprogrammed after creation. Rear view version: Focus the armor entirely on the back of the ship, as it's the last thing your enemies will see, before you run the shit outta there with your tail between legs. It also greatly boosts the engines repair times.",Redistributes the armor across the ship.,graphics/hullmods/smart_armor_alloy.png
Smart Armor Alloy: Naval Warfare,tbca_smart_armor_alloy_naval_warfare,4,0.7,High-Tech,"defensive, merc, special","Defenses, Special",35000,FALSE,,,8,12,20,40,data.hullmods.SmartArmorAlloyNavalWarfare,"A technologically advanced alloy made with the ultimate nano technology. It has lower armor capabilities compared with standard alloys, but it has the ability of redistributing itself where it is more needed.

In combat it will redistribute the armor across sections of the ship, always maintaining a layer of protection against direct hull damage. The redistribution causes the ship to heat up, generating 0.5% of total capacity flux every second. When overloaded the nano bots short-circuit, taking 5 seconds for them to reboot after the overload wears off. It has 4 different versions as the nano bots cannot be reprogrammed after creation. Naval warfare version: Focus the armor entirely on the sides of the ship, best used in the Conquest-Class, for obvious reasons. Has a slightly higher repair boost than the overall version, for not so obvious reasons.",Redistributes the armor across the ship.,graphics/hullmods/smart_armor_alloy.png
,,,,,,,,,,,,,,,,,,
